UNITID,XBAREVCT,BAREVCT,XBAEXCLU,BAEXCLU,XBAAC150,BAAC150,XBANC100,BANC100,XBAGR100,BAGR100,XBANC150,BANC150,XBAGR150,BAGR150,XBAAEXCL,BAAEXCL,XBAAC200,BAAC200,XBANC20A,BANC200A,XBASTEND,BASTEND,XBANC200,BANC200,XBAGR200,BAGR200,XL4REVCT,L4REVCT,XL4EXCLU,L4EXCLU,XL4AC150,L4AC150,XL4NC100,L4NC100,XL4GR100,L4GR100,XL4NC150,L4NC150,XL4GR150,L4GR150,XL4AEXCL,L4AEXCL,XL4AC200,L4AC200,XL4NC20A,L4NC200A,XL4STEND,L4STEND,XL4NC200,L4NC200,XL4GR200,L4GR200 
151625,"R",1,"R",0,"R",1,"Z",0,"R",0,"Z",0,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
151652,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",118,"R",0,"R",118,"R",1,"R",1,"R",56,"R",47,"R",0,"R",118,"R",0,"R",0,"R",56,"R",47
151661,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1890,"R",0,"R",1890,"R",187,"R",10,"R",765,"R",40,"R",0,"R",1890,"R",5,"R",0,"R",770,"R",41
151777,"R",330,"R",1,"R",329,"R",140,"R",43,"R",168,"R",51,"R",0,"R",329,"R",0,"R",0,"R",168,"R",51,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
151786,"R",180,"R",0,"R",180,"R",64,"R",36,"R",104,"R",58,"R",0,"R",180,"R",1,"R",0,"R",105,"R",58,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
151801,"R",735,"R",0,"R",735,"R",412,"R",56,"R",511,"R",70,"R",0,"R",735,"R",5,"R",5,"R",516,"R",70,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
151810,"R",24,"R",0,"R",24,"Z",0,"R",0,"R",2,"R",8,"R",0,"R",24,"R",1,"R",1,"R",3,"R",13,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
151829,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",89,"R",0,"R",89,"R",74,"R",83,"R",74,"R",83,"R",0,"R",89,"R",10,"R",2,"R",84,"R",94
151874,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",47,"R",0,"R",47,"R",10,"R",21,"R",24,"R",51,"R",0,"R",47,"R",1,"R",0,"R",25,"R",53
152044,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",21,"R",0,"R",21,"R",12,"R",57,"R",13,"R",62,"R",0,"R",21,"R",0,"R",0,"R",13,"R",62
152080,"R",1990,"R",0,"R",1990,"R",1800,"R",90,"R",1908,"R",96,"R",0,"R",1990,"R",6,"R",0,"R",1914,"R",96,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
152099,"R",127,"R",0,"R",127,"R",55,"R",43,"R",81,"R",64,"R",1,"R",126,"R",2,"Z",0,"R",83,"R",66,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
152150,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",32,"R",0,"R",32,"R",0,"R",0,"R",14,"R",44,"R",0,"R",32,"R",0,"R",0,"R",14,"R",44
152220,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",568,"R",9,"R",559,"R",333,"R",60,"R",365,"R",65,"R",0,"R",559,"R",0,"R",0,"R",365,"R",65
152248,"R",865,"R",0,"R",865,"R",57,"R",7,"R",240,"R",28,"R",3,"R",862,"R",51,"R",41,"R",291,"R",34,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
152266,"R",496,"R",0,"R",496,"R",23,"R",5,"R",85,"R",17,"R",0,"R",496,"R",28,"R",16,"R",113,"R",23,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
152275,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",87,"R",0,"R",87,"R",7,"R",8,"R",44,"R",51,"R",0,"R",87,"R",0,"R",0,"R",44,"R",51
152309,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",92,"R",0,"R",92,"R",69,"R",75,"R",69,"R",75,"R",0,"R",92,"R",2,"R",0,"R",71,"R",77
152318,"R",449,"R",2,"R",447,"R",297,"R",66,"R",343,"R",77,"R",0,"R",447,"R",49,"R",0,"R",392,"R",88,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
152327,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",35,"R",0,"R",35,"R",3,"R",9,"R",22,"R",63,"R",0,"R",35,"R",1,"R",0,"R",23,"R",66
152336,"R",270,"R",0,"R",270,"R",86,"R",32,"R",146,"R",54,"R",0,"R",270,"R",1,"R",1,"R",147,"R",54,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
152363,"R",266,"R",0,"R",266,"R",128,"R",48,"R",153,"R",58,"R",0,"R",266,"R",7,"R",0,"R",160,"R",60,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
152381,"R",76,"R",0,"R",76,"R",35,"R",46,"R",43,"R",57,"R",0,"R",76,"R",0,"R",0,"R",43,"R",57,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
152390,"R",377,"R",0,"R",377,"R",277,"R",73,"R",297,"R",79,"R",0,"R",377,"R",2,"R",0,"R",299,"R",79,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
152415,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",363,"R",1,"R",362,"R",107,"R",30,"R",173,"R",48,"R",0,"R",362,"R",0,"R",0,"R",173,"R",48
152497,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",14,"R",0,"R",14,"R",8,"R",57,"R",8,"R",57,"R",0,"R",14,"R",2,"R",0,"R",10,"R",71
152530,"R",459,"R",0,"R",459,"R",342,"R",75,"R",369,"R",80,"R",0,"R",459,"R",0,"R",1,"R",369,"R",80,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
152567,"R",294,"R",0,"R",294,"R",91,"R",31,"R",128,"R",44,"R",0,"R",294,"R",4,"R",0,"R",132,"R",45,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
152600,"R",673,"R",1,"R",672,"R",421,"R",63,"R",476,"R",71,"R",0,"R",672,"R",1,"R",0,"R",477,"R",71,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
152628,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",8,"R",0,"R",8,"R",3,"R",38,"R",6,"R",75,"R",0,"R",8,"R",0,"R",0,"R",6,"R",75
152673,"R",249,"R",0,"R",249,"R",170,"R",68,"R",186,"R",75,"R",0,"R",249,"R",13,"R",0,"R",199,"R",80,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
152798,"R",18,"R",0,"R",18,"R",8,"R",44,"R",9,"R",50,"R",0,"R",18,"R",0,"R",0,"R",9,"R",50,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
152992,"R",251,"R",0,"R",251,"R",95,"R",38,"R",112,"R",45,"R",0,"R",251,"R",1,"R",2,"R",113,"R",45,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
153001,"R",287,"R",1,"R",286,"R",121,"R",42,"R",157,"R",55,"R",0,"R",286,"R",1,"R",0,"R",158,"R",55,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
153074,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",80,"R",0,"R",80,"R",59,"R",74,"R",59,"R",74,"R",0,"R",80,"R",0,"R",0,"R",59,"R",74
153083,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",69,"R",0,"R",69,"R",35,"R",51,"R",49,"R",71,"R",0,"R",69,"R",1,"R",0,"R",50,"R",72
153092,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",22,"R",0,"R",22,"R",16,"R",73,"R",16,"R",73,"R",0,"R",22,"R",0,"R",0,"R",16,"R",73
153108,"R",366,"R",0,"R",366,"R",213,"R",58,"R",232,"R",63,"R",0,"R",366,"R",0,"R",0,"R",232,"R",63,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
153126,"R",158,"R",0,"R",158,"R",78,"R",49,"R",95,"R",60,"R",0,"R",158,"R",0,"R",0,"R",95,"R",60,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
153144,"R",316,"R",0,"R",316,"R",194,"R",61,"R",219,"R",69,"R",0,"R",316,"R",0,"R",0,"R",219,"R",69,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
153162,"R",319,"R",0,"R",319,"R",208,"R",65,"R",223,"R",70,"R",0,"R",319,"R",0,"R",1,"R",223,"R",70,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
153171,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",22,"R",0,"R",22,"R",5,"R",23,"R",13,"R",59,"R",0,"R",22,"R",0,"R",0,"R",13,"R",59
153214,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2664,"R",4,"R",2660,"R",586,"R",22,"R",1109,"R",42,"Z",0,"R",2660,"R",410,"R",555,"R",1519,"R",57
153241,"R",6,"R",0,"R",6,"Z",0,"R",0,"R",1,"R",17,"R",0,"R",6,"R",0,"R",0,"R",1,"R",17,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
153250,"R",359,"R",0,"R",359,"R",200,"R",56,"R",215,"R",60,"R",0,"R",359,"R",3,"R",0,"R",218,"R",61,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
153269,"R",681,"R",0,"R",681,"R",438,"R",64,"R",509,"R",75,"R",0,"R",681,"R",5,"R",0,"R",514,"R",75,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
153278,"R",305,"R",2,"R",303,"R",69,"R",23,"R",125,"R",41,"R",0,"R",303,"R",4,"R",2,"R",129,"R",43,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
153296,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",299,"R",0,"R",299,"R",60,"R",20,"R",75,"R",25,"R",0,"R",299,"R",7,"R",4,"R",82,"R",27
153302,"R",40,"R",0,"R",40,"R",19,"R",48,"R",20,"R",50,"R",0,"R",40,"R",0,"R",0,"R",20,"R",50,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
153311,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1257,"R",1,"R",1256,"R",177,"R",14,"R",286,"R",23,"Z",0,"R",1256,"R",45,"R",69,"R",331,"R",26
153320,"R",61,"R",0,"R",61,"R",17,"R",28,"R",21,"R",34,"R",0,"R",61,"R",0,"R",0,"R",21,"R",34,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
153339,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",31,"R",0,"R",31,"R",22,"R",71,"R",22,"R",71,"R",0,"R",31,"R",0,"R",0,"R",22,"R",71
153366,"R",255,"R",0,"R",255,"R",76,"R",30,"R",129,"R",51,"R",0,"R",255,"R",0,"R",0,"R",129,"R",51,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
153375,"R",217,"R",1,"R",216,"R",49,"R",23,"R",88,"R",41,"R",0,"R",216,"R",6,"R",0,"R",94,"R",44,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
153384,"R",385,"R",0,"R",385,"R",320,"R",83,"R",338,"R",88,"R",2,"R",383,"R",2,"R",0,"R",340,"R",89,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
153409,"R",1,"R",0,"R",1,"Z",0,"R",0,"Z",0,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
153418,"R",1,"R",0,"R",1,"R",1,"R",100,"R",1,"R",100,"R",0,"R",1,"R",0,"R",0,"R",1,"R",100,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
153445,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1123,"R",0,"R",1123,"R",250,"R",22,"R",353,"R",31,"R",0,"R",1123,"R",112,"R",31,"R",465,"R",41
153463,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",14,"R",0,"R",14,"R",4,"R",29,"R",5,"R",36,"R",0,"R",14,"R",1,"R",0,"R",6,"R",43
153472,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1130,"R",6,"R",1124,"R",235,"R",21,"R",272,"R",24,"R",5,"R",1119,"R",53,"R",21,"R",325,"R",29
153524,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1046,"R",0,"R",1046,"R",326,"R",31,"R",427,"R",41,"R",0,"R",1046,"R",58,"R",29,"R",485,"R",46
153533,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",823,"R",0,"R",823,"R",241,"R",29,"R",284,"R",35,"R",0,"R",823,"R",16,"Z",0,"R",300,"R",36
153542,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",11,"R",0,"R",11,"R",11,"R",100,"R",11,"R",100,"R",0,"R",11,"R",0,"R",0,"R",11,"R",100
153588,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",28,"R",0,"R",28,"R",3,"R",11,"R",14,"R",50,"R",0,"R",28,"R",0,"R",0,"R",14,"R",50
153597,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",173,"R",0,"R",173,"R",9,"R",5,"R",93,"R",54,"R",0,"R",173,"R",0,"R",0,"R",93,"R",54
153603,"R",3745,"R",8,"R",3737,"R",1248,"R",33,"R",2523,"R",68,"R",0,"R",3737,"R",71,"R",28,"R",2594,"R",69,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
153621,"R",135,"R",0,"R",135,"R",21,"R",16,"R",34,"R",25,"R",0,"R",135,"R",2,"R",0,"R",36,"R",27,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
153630,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1199,"R",4,"R",1195,"R",130,"R",11,"R",224,"R",19,"R",0,"R",1195,"R",45,"R",95,"R",269,"R",23
153658,"R",3818,"R",0,"R",3818,"R",1794,"R",47,"R",2704,"R",71,"Z",0,"R",3818,"R",35,"R",42,"R",2739,"R",72,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
153737,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",3336,"R",1,"R",3335,"R",415,"R",12,"R",670,"R",20,"R",2,"R",3333,"R",140,"R",255,"R",810,"R",24
153746,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",90,"R",0,"R",90,"R",49,"R",54,"R",61,"R",68,"R",0,"R",90,"R",0,"R",0,"R",61,"R",68
153764,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",178,"R",0,"R",178,"R",86,"R",48,"R",118,"R",66,"R",0,"R",178,"R",0,"R",0,"R",118,"R",66
153773,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",98,"R",0,"R",98,"R",61,"R",62,"R",86,"R",88,"R",0,"R",98,"R",0,"R",0,"R",86,"R",88
153782,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",147,"R",0,"R",147,"R",68,"R",46,"R",101,"R",69,"R",0,"R",147,"R",0,"R",0,"R",101,"R",69
153825,"R",364,"R",0,"R",364,"R",160,"R",44,"R",214,"R",59,"R",0,"R",364,"R",0,"R",0,"R",214,"R",59,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
153834,"R",630,"R",1,"R",629,"R",367,"R",58,"R",436,"R",69,"R",0,"R",629,"R",5,"R",1,"R",441,"R",70,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
153861,"R",30,"R",0,"R",30,"R",15,"R",50,"R",15,"R",50,"R",0,"R",30,"R",0,"R",0,"R",15,"R",50,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
153922,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",471,"R",0,"R",471,"R",91,"R",19,"R",125,"R",27,"R",0,"R",471,"R",14,"R",7,"R",139,"R",30
154004,"R",309,"R",0,"R",309,"R",143,"R",46,"R",177,"R",57,"R",0,"R",309,"R",1,"R",0,"R",178,"R",58,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
154013,"R",181,"R",0,"R",181,"R",89,"R",49,"R",109,"R",60,"R",0,"R",181,"R",2,"R",0,"R",111,"R",61,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
154022,"R",68,"R",0,"R",68,"R",9,"R",13,"R",14,"R",21,"R",0,"R",68,"R",2,"R",1,"R",16,"R",24,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
154059,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",788,"R",0,"R",788,"R",205,"R",26,"R",342,"R",43,"R",0,"R",788,"R",32,"R",53,"R",374,"R",47
154095,"R",1693,"R",0,"R",1693,"R",618,"R",37,"R",1130,"R",67,"R",0,"R",1693,"R",31,"R",5,"R",1161,"R",69,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
154101,"R",374,"R",0,"R",374,"R",205,"R",55,"R",245,"R",66,"R",0,"R",374,"R",1,"R",0,"R",246,"R",66,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
154110,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",819,"R",0,"R",819,"R",172,"R",21,"R",245,"R",30,"R",2,"R",817,"R",48,"R",41,"R",293,"R",36
154129,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",278,"R",0,"R",278,"R",140,"R",50,"R",156,"R",56,"R",0,"R",278,"R",10,"R",1,"R",166,"R",60
154165,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",47,"R",0,"R",47,"Z",0,"R",0,"R",24,"R",51,"R",0,"R",47,"R",0,"R",0,"R",24,"R",51
154174,"R",15,"R",0,"R",15,"R",14,"R",93,"R",14,"R",93,"R",0,"R",15,"R",0,"R",0,"R",14,"R",93,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
154208,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",62,"R",0,"R",62,"R",18,"R",29,"R",42,"R",68,"R",0,"R",62,"R",0,"R",0,"R",42,"R",68
154235,"R",469,"R",0,"R",469,"R",228,"R",49,"R",290,"R",62,"R",0,"R",469,"R",6,"R",0,"R",296,"R",63,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
154332,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",62,"R",0,"R",62,"R",29,"R",47,"R",42,"R",68,"R",0,"R",62,"R",0,"R",0,"R",42,"R",68
154341,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",101,"R",0,"R",101,"R",52,"R",51,"R",71,"R",70,"R",0,"R",101,"R",0,"R",0,"R",71,"R",70
154350,"R",336,"R",0,"R",336,"R",212,"R",63,"R",231,"R",69,"R",0,"R",336,"R",1,"R",0,"R",232,"R",69,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
154378,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",348,"R",0,"R",348,"R",72,"R",21,"R",97,"R",28,"R",0,"R",348,"R",11,"R",4,"R",108,"R",31
154396,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",278,"R",0,"R",278,"R",111,"R",40,"R",120,"R",43,"Z",0,"R",278,"R",15,"R",3,"R",135,"R",49
154448,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",57,"R",0,"R",57,"R",21,"R",37,"R",38,"R",67,"R",0,"R",57,"R",0,"R",0,"R",38,"R",67
154457,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",33,"R",0,"R",33,"R",1,"R",3,"R",26,"R",79,"R",0,"R",33,"R",0,"R",0,"R",26,"R",79
154466,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",51,"R",0,"R",51,"R",4,"R",8,"R",29,"R",57,"R",0,"R",51,"R",0,"R",0,"R",29,"R",57
154493,"R",126,"R",0,"R",126,"R",42,"R",33,"R",57,"R",45,"R",0,"R",126,"R",1,"R",1,"R",58,"R",46,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
154518,"R",161,"R",0,"R",161,"R",56,"R",35,"R",73,"R",45,"R",0,"R",161,"R",1,"R",0,"R",74,"R",46,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
154527,"R",518,"R",0,"R",518,"R",307,"R",59,"R",327,"R",63,"R",1,"R",517,"R",4,"R",1,"R",331,"R",64,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
154545,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",43,"R",2,"R",41,"R",24,"R",59,"R",24,"R",59,"R",3,"R",38,"R",1,"R",1,"R",25,"R",66
154572,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",313,"R",0,"R",313,"R",53,"R",17,"R",65,"R",21,"R",0,"R",313,"R",14,"R",12,"R",79,"R",25
154590,"R",211,"R",0,"R",211,"R",24,"R",11,"R",63,"R",30,"Z",0,"R",211,"R",1,"R",0,"R",64,"R",30,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
154642,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",459,"R",0,"R",459,"R",60,"R",13,"R",127,"R",28,"R",13,"R",446,"R",6,"R",28,"R",133,"R",30
154688,"R",239,"R",0,"R",239,"R",95,"R",40,"R",141,"R",59,"R",0,"R",239,"R",5,"R",0,"R",146,"R",61,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
154697,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",359,"R",0,"R",359,"R",74,"R",21,"R",99,"R",28,"R",1,"R",358,"R",19,"R",0,"R",118,"R",33
154712,"R",303,"R",0,"R",303,"R",125,"R",41,"R",169,"R",56,"R",0,"R",303,"R",6,"R",0,"R",175,"R",58,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
154721,"R",148,"R",0,"R",148,"R",53,"R",36,"R",62,"R",42,"R",0,"R",148,"R",0,"R",0,"R",62,"R",42,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
154749,"R",96,"R",0,"R",96,"R",35,"R",36,"R",50,"R",52,"Z",0,"R",96,"R",1,"R",0,"R",51,"R",53,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
154794,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",56,"R",0,"R",56,"R",27,"R",48,"R",27,"R",48,"R",0,"R",56,"R",0,"R",0,"R",27,"R",48
154800,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1324,"R",1,"R",1323,"R",170,"R",13,"R",278,"R",21,"R",0,"R",1323,"R",54,"R",3,"R",332,"R",25
154855,"R",92,"R",0,"R",92,"R",31,"R",34,"R",38,"R",41,"R",0,"R",92,"R",0,"R",0,"R",38,"R",41,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
