UNITID,XBAREVCT,BAREVCT,XBAEXCLU,BAEXCLU,XBAAC150,BAAC150,XBANC100,BANC100,XBAGR100,BAGR100,XBANC150,BANC150,XBAGR150,BAGR150,XBAAEXCL,BAAEXCL,XBAAC200,BAAC200,XBANC20A,BANC200A,XBASTEND,BASTEND,XBANC200,BANC200,XBAGR200,BAGR200,XL4REVCT,L4REVCT,XL4EXCLU,L4EXCLU,XL4AC150,L4AC150,XL4NC100,L4NC100,XL4GR100,L4GR100,XL4NC150,L4NC150,XL4GR150,L4GR150,XL4AEXCL,L4AEXCL,XL4AC200,L4AC200,XL4NC20A,L4NC200A,XL4STEND,L4STEND,XL4NC200,L4NC200,XL4GR200,L4GR200 
109907,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",283,"R",0,"R",283,"R",12,"R",4,"R",30,"R",11,"R",0,"R",283,"R",3,"R",19,"R",33,"R",12
109934,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",128,"R",0,"R",128,"R",2,"R",2,"R",81,"R",63,"R",0,"R",128,"R",3,"R",0,"R",84,"R",66
110060,"R",41,"R",3,"R",38,"R",4,"R",11,"R",13,"R",34,"R",0,"R",38,"R",0,"R",0,"R",13,"R",34,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110097,"R",670,"R",0,"R",670,"R",337,"R",50,"R",477,"R",71,"R",0,"R",670,"R",5,"R",3,"R",482,"R",72,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110185,"R",249,"R",0,"R",249,"R",112,"R",45,"R",112,"R",45,"R",0,"R",249,"R",0,"R",0,"R",112,"R",45,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110194,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",322,"R",0,"R",322,"R",294,"R",91,"R",295,"R",92,"R",0,"R",322,"R",0,"R",0,"R",295,"R",92
110246,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1101,"R",0,"R",1101,"R",129,"R",12,"R",274,"R",25,"R",0,"R",1101,"R",89,"R",181,"R",363,"R",33
110334,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",765,"R",0,"R",765,"R",52,"R",7,"R",175,"R",23,"R",0,"R",765,"R",84,"R",171,"R",259,"R",34
110361,"R",317,"R",0,"R",317,"R",129,"R",41,"R",175,"R",55,"R",0,"R",317,"R",10,"R",0,"R",185,"R",58,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110370,"R",181,"R",0,"R",181,"R",44,"R",24,"R",88,"R",49,"Z",0,"R",181,"R",3,"Z",0,"R",91,"R",50,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110404,"R",234,"R",1,"R",233,"R",178,"R",76,"R",202,"R",87,"R",0,"R",233,"R",4,"R",0,"R",206,"R",88,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110413,"R",385,"R",0,"R",385,"R",201,"R",52,"R",246,"R",64,"R",0,"R",385,"R",0,"R",0,"R",246,"R",64,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110422,"R",3318,"R",0,"R",3318,"R",1021,"R",31,"R",2475,"R",75,"R",0,"R",3318,"R",87,"R",8,"R",2562,"R",77,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110468,"R",21,"R",0,"R",21,"R",4,"R",19,"R",6,"R",29,"R",0,"R",21,"R",0,"R",0,"R",6,"R",29,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110486,"R",766,"R",0,"R",766,"R",114,"R",15,"R",317,"R",41,"R",0,"R",766,"R",40,"R",16,"R",357,"R",47,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110495,"R",741,"R",0,"R",741,"R",151,"R",20,"R",364,"R",49,"R",0,"R",741,"R",45,"R",9,"R",409,"R",55,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110510,"R",1645,"R",0,"R",1645,"R",212,"R",13,"R",733,"R",45,"R",0,"R",1645,"R",116,"R",35,"R",849,"R",52,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110529,"R",3089,"R",0,"R",3089,"R",380,"R",12,"R",1555,"R",50,"R",0,"R",3089,"R",253,"R",62,"R",1808,"R",59,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110538,"R",2300,"R",0,"R",2300,"R",439,"R",19,"R",1358,"R",59,"R",0,"R",2300,"R",83,"R",23,"R",1441,"R",63,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110547,"R",705,"R",0,"R",705,"R",42,"R",6,"R",172,"R",24,"R",0,"R",705,"R",53,"R",25,"R",225,"R",32,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110556,"R",2356,"R",0,"R",2356,"R",323,"R",14,"R",1165,"R",49,"R",0,"R",2356,"R",181,"R",58,"R",1346,"R",57,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110565,"R",3816,"R",0,"R",3816,"R",524,"R",14,"R",1910,"R",50,"R",0,"R",3816,"R",241,"R",83,"R",2151,"R",56,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110574,"R",686,"R",0,"R",686,"R",110,"R",16,"R",297,"R",43,"R",0,"R",686,"R",45,"R",13,"R",342,"R",50,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110583,"R",4241,"R",0,"R",4241,"R",524,"R",12,"R",2291,"R",54,"R",0,"R",4241,"R",422,"R",92,"R",2713,"R",64,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110592,"R",1253,"R",0,"R",1253,"R",111,"R",9,"R",457,"R",36,"R",0,"R",1253,"R",111,"R",38,"R",568,"R",45,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110608,"R",3602,"R",0,"R",3602,"R",480,"R",13,"R",1660,"R",46,"R",0,"R",3602,"R",240,"R",73,"R",1900,"R",53,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110617,"R",2436,"R",0,"R",2436,"R",256,"R",11,"R",1014,"R",42,"R",0,"R",2436,"R",204,"R",77,"R",1218,"R",50,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110635,"R",4102,"R",0,"R",4102,"R",2913,"R",71,"R",3712,"R",90,"R",0,"R",4102,"R",39,"R",8,"R",3751,"R",91,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110644,"R",4375,"R",4,"R",4371,"R",2249,"R",51,"R",3571,"R",82,"R",0,"R",4371,"R",74,"R",13,"R",3645,"R",83,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110653,"R",4314,"R",1,"R",4313,"R",2783,"R",65,"R",3649,"R",85,"Z",0,"R",4313,"R",49,"R",12,"R",3698,"R",86,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110662,"R",4423,"R",2,"R",4421,"R",2985,"R",68,"R",3977,"R",90,"R",0,"R",4421,"R",14,"R",11,"R",3991,"R",90,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110671,"R",2661,"R",3,"R",2658,"R",1141,"R",43,"R",1775,"R",67,"R",0,"R",2658,"R",53,"R",17,"R",1828,"R",69,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
